,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,trackName,playlistName
0,0.508,0.781,0,-6.919,1,0.0544,0.0168,0.0,0.119,0.35,143.971,audio_features,18mAggfWhdX9vcR4B5DwY3,spotify:track:18mAggfWhdX9vcR4B5DwY3,https://api.spotify.com/v1/tracks/18mAggfWhdX9vcR4B5DwY3,https://api.spotify.com/v1/audio-analysis/18mAggfWhdX9vcR4B5DwY3,246160,4,The Way I Feel,albümden albüme atlamak zor geldi
1,0.473,0.687,2,-8.186,1,0.0253,0.159,0.0,0.113,0.57,175.953,audio_features,4UzRgkkgKbtnPbz3hBhyvS,spotify:track:4UzRgkkgKbtnPbz3hBhyvS,https://api.spotify.com/v1/tracks/4UzRgkkgKbtnPbz3hBhyvS,https://api.spotify.com/v1/audio-analysis/4UzRgkkgKbtnPbz3hBhyvS,243173,4,Chase The Night Away,albümden albüme atlamak zor geldi
2,0.576,0.351,8,-11.418,1,0.0273,0.429,0.000189,0.104,0.179,105.962,audio_features,0jtCa3XLLrofXAuh3dQzy7,spotify:track:0jtCa3XLLrofXAuh3dQzy7,https://api.spotify.com/v1/tracks/0jtCa3XLLrofXAuh3dQzy7,https://api.spotify.com/v1/audio-analysis/0jtCa3XLLrofXAuh3dQzy7,292253,4,Thread,albümden albüme atlamak zor geldi
3,0.571,0.585,4,-8.26,1,0.115,0.306,0.0,0.175,0.618,81.045,audio_features,6MmTICUGiQ0raoV9xqaKLn,spotify:track:6MmTICUGiQ0raoV9xqaKLn,https://api.spotify.com/v1/tracks/6MmTICUGiQ0raoV9xqaKLn,https://api.spotify.com/v1/audio-analysis/6MmTICUGiQ0raoV9xqaKLn,229373,4,Stupid Things,albümden albüme atlamak zor geldi
4,0.481,0.663,11,-7.945,1,0.0278,0.00427,1.92e-06,0.0632,0.701,181.923,audio_features,0H2igpX2q1sQw4BD9nsSe7,spotify:track:0H2igpX2q1sQw4BD9nsSe7,https://api.spotify.com/v1/tracks/0H2igpX2q1sQw4BD9nsSe7,https://api.spotify.com/v1/audio-analysis/0H2igpX2q1sQw4BD9nsSe7,216760,4,Phases,albümden albüme atlamak zor geldi
5,0.451,0.343,0,-9.807,1,0.0293,0.615,0.0,0.137,0.32,80.898,audio_features,56Lfi2D8GHrX8xbiYOUwF6,spotify:track:56Lfi2D8GHrX8xbiYOUwF6,https://api.spotify.com/v1/tracks/56Lfi2D8GHrX8xbiYOUwF6,https://api.spotify.com/v1/audio-analysis/56Lfi2D8GHrX8xbiYOUwF6,208773,4,Difficult Year - Bonus Track,albümden albüme atlamak zor geldi
6,0.448,0.665,9,-4.203,1,0.026,0.06,2.55e-05,0.0828,0.304,172.004,audio_features,1SKPmfSYaPsETbRHaiA18G,spotify:track:1SKPmfSYaPsETbRHaiA18G,https://api.spotify.com/v1/tracks/1SKPmfSYaPsETbRHaiA18G,https://api.spotify.com/v1/audio-analysis/1SKPmfSYaPsETbRHaiA18G,237147,4,Somewhere Only We Know,albümden albüme atlamak zor geldi
7,0.517,0.839,0,-3.521,1,0.0287,0.0014,0.000365,0.108,0.416,94.015,audio_features,0yac0FPhLRH9i9lOng3f81,spotify:track:0yac0FPhLRH9i9lOng3f81,https://api.spotify.com/v1/tracks/0yac0FPhLRH9i9lOng3f81,https://api.spotify.com/v1/audio-analysis/0yac0FPhLRH9i9lOng3f81,215880,4,Everybody's Changing,albümden albüme atlamak zor geldi
8,0.467,0.839,4,-3.584,1,0.0295,0.000738,1.99e-05,0.121,0.518,137.902,audio_features,4mPiTSD96K4Dha1irhqpW3,spotify:track:4mPiTSD96K4Dha1irhqpW3,https://api.spotify.com/v1/tracks/4mPiTSD96K4Dha1irhqpW3,https://api.spotify.com/v1/audio-analysis/4mPiTSD96K4Dha1irhqpW3,220133,4,Bend & Break,albümden albüme atlamak zor geldi
9,0.515,0.718,2,-4.124,0,0.0299,0.00545,0.0,0.145,0.366,123.99,audio_features,78beAzLy2Vqxs7zURZVusF,spotify:track:78beAzLy2Vqxs7zURZVusF,https://api.spotify.com/v1/tracks/78beAzLy2Vqxs7zURZVusF,https://api.spotify.com/v1/audio-analysis/78beAzLy2Vqxs7zURZVusF,218493,4,Can't Stop Now,albümden albüme atlamak zor geldi
